video_id,label,frames_dir
YouTube-real_00296,0,/content/outputs/frames/CDF/YouTube-real_00296
YouTube-real_00202,0,/content/outputs/frames/CDF/YouTube-real_00202
YouTube-real_00016,0,/content/outputs/frames/CDF/YouTube-real_00016
Celeb-synthesis_id33_id34_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id33_id34_0007
Celeb-synthesis_id46_id44_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id46_id44_0003
Celeb-synthesis_id6_id0_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id6_id0_0008
YouTube-real_00219,0,/content/outputs/frames/CDF/YouTube-real_00219
Celeb-synthesis_id48_id43_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id48_id43_0008
YouTube-real_00014,0,/content/outputs/frames/CDF/YouTube-real_00014
Celeb-synthesis_id20_id31_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id20_id31_0006
Celeb-synthesis_id21_id17_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id21_id17_0006
YouTube-real_00234,0,/content/outputs/frames/CDF/YouTube-real_00234
Celeb-synthesis_id23_id30_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id23_id30_0002
Celeb-synthesis_id23_id0_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id23_id0_0002
Celeb-synthesis_id20_id29_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id20_id29_0008
YouTube-real_00254,0,/content/outputs/frames/CDF/YouTube-real_00254
Celeb-synthesis_id20_id21_0005,1,/content/outputs/frames/CDF/Celeb-synthesis_id20_id21_0005
YouTube-real_00046,0,/content/outputs/frames/CDF/YouTube-real_00046
YouTube-real_00227,0,/content/outputs/frames/CDF/YouTube-real_00227
Celeb-synthesis_id23_id38_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id23_id38_0002
Celeb-synthesis_id19_id25_0005,1,/content/outputs/frames/CDF/Celeb-synthesis_id19_id25_0005
YouTube-real_00040,0,/content/outputs/frames/CDF/YouTube-real_00040
YouTube-real_00157,0,/content/outputs/frames/CDF/YouTube-real_00157
YouTube-real_00239,0,/content/outputs/frames/CDF/YouTube-real_00239
YouTube-real_00072,0,/content/outputs/frames/CDF/YouTube-real_00072
Celeb-synthesis_id3_id0_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id3_id0_0009
YouTube-real_00284,0,/content/outputs/frames/CDF/YouTube-real_00284
Celeb-synthesis_id17_id6_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id17_id6_0002
Celeb-synthesis_id24_id27_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id24_id27_0006
Celeb-synthesis_id55_id56_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id55_id56_0007
Celeb-synthesis_id39_id46_0004,1,/content/outputs/frames/CDF/Celeb-synthesis_id39_id46_0004
Celeb-synthesis_id12_id10_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id12_id10_0001
YouTube-real_00085,0,/content/outputs/frames/CDF/YouTube-real_00085
Celeb-synthesis_id26_id19_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id26_id19_0003
Celeb-synthesis_id23_id17_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id23_id17_0007
Celeb-synthesis_id2_id1_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id2_id1_0007
YouTube-real_00098,0,/content/outputs/frames/CDF/YouTube-real_00098
YouTube-real_00017,0,/content/outputs/frames/CDF/YouTube-real_00017
Celeb-synthesis_id2_id4_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id2_id4_0009
Celeb-synthesis_id8_id6_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id8_id6_0002
YouTube-real_00139,0,/content/outputs/frames/CDF/YouTube-real_00139
Celeb-synthesis_id16_id2_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id16_id2_0003
Celeb-synthesis_id28_id34_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id28_id34_0003
YouTube-real_00189,0,/content/outputs/frames/CDF/YouTube-real_00189
Celeb-synthesis_id1_id21_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id1_id21_0002
