video_id,label,frames_dir
YouTube-real_00161,0,/content/outputs/frames/CDF/YouTube-real_00161
Celeb-synthesis_id8_id6_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id8_id6_0002
YouTube-real_00265,0,/content/outputs/frames/CDF/YouTube-real_00265
Celeb-synthesis_id48_id42_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id48_id42_0009
YouTube-real_00237,0,/content/outputs/frames/CDF/YouTube-real_00237
Celeb-synthesis_id16_id2_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id16_id2_0003
YouTube-real_00296,0,/content/outputs/frames/CDF/YouTube-real_00296
YouTube-real_00183,0,/content/outputs/frames/CDF/YouTube-real_00183
YouTube-real_00139,0,/content/outputs/frames/CDF/YouTube-real_00139
YouTube-real_00020,0,/content/outputs/frames/CDF/YouTube-real_00020
YouTube-real_00007,0,/content/outputs/frames/CDF/YouTube-real_00007
YouTube-real_00220,0,/content/outputs/frames/CDF/YouTube-real_00220
YouTube-real_00258,0,/content/outputs/frames/CDF/YouTube-real_00258
Celeb-synthesis_id26_id19_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id26_id19_0003
Celeb-synthesis_id17_id9_0005,1,/content/outputs/frames/CDF/Celeb-synthesis_id17_id9_0005
Celeb-synthesis_id6_id0_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id6_id0_0008
YouTube-real_00219,0,/content/outputs/frames/CDF/YouTube-real_00219
Celeb-synthesis_id55_id51_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id55_id51_0000
Celeb-synthesis_id51_id55_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id55_0008
Celeb-synthesis_id55_id56_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id55_id56_0007
YouTube-real_00247,0,/content/outputs/frames/CDF/YouTube-real_00247
Celeb-synthesis_id17_id6_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id17_id6_0009
YouTube-real_00211,0,/content/outputs/frames/CDF/YouTube-real_00211
Celeb-synthesis_id3_id0_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id3_id0_0009
Celeb-synthesis_id45_id42_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id45_id42_0002
YouTube-real_00141,0,/content/outputs/frames/CDF/YouTube-real_00141
YouTube-real_00076,0,/content/outputs/frames/CDF/YouTube-real_00076
YouTube-real_00298,0,/content/outputs/frames/CDF/YouTube-real_00298
Celeb-synthesis_id21_id17_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id21_id17_0006
Celeb-synthesis_id1_id21_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id1_id21_0002
YouTube-real_00212,0,/content/outputs/frames/CDF/YouTube-real_00212
Celeb-synthesis_id29_id33_0005,1,/content/outputs/frames/CDF/Celeb-synthesis_id29_id33_0005
Celeb-synthesis_id20_id30_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id20_id30_0006
YouTube-real_00272,0,/content/outputs/frames/CDF/YouTube-real_00272
Celeb-synthesis_id31_id35_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id31_id35_0000
YouTube-real_00227,0,/content/outputs/frames/CDF/YouTube-real_00227
YouTube-real_00238,0,/content/outputs/frames/CDF/YouTube-real_00238
Celeb-synthesis_id49_id53_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id49_id53_0001
Celeb-synthesis_id25_id21_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id25_id21_0008
Celeb-synthesis_id17_id6_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id17_id6_0001
YouTube-real_00027,0,/content/outputs/frames/CDF/YouTube-real_00027
Celeb-synthesis_id31_id9_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id31_id9_0003
Celeb-synthesis_id6_id16_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id6_id16_0009
Celeb-synthesis_id23_id38_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id23_id38_0002
YouTube-real_00178,0,/content/outputs/frames/CDF/YouTube-real_00178
YouTube-real_00100,0,/content/outputs/frames/CDF/YouTube-real_00100
Celeb-synthesis_id19_id25_0005,1,/content/outputs/frames/CDF/Celeb-synthesis_id19_id25_0005
Celeb-synthesis_id12_id10_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id12_id10_0001
Celeb-synthesis_id2_id1_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id2_id1_0007
YouTube-real_00170,0,/content/outputs/frames/CDF/YouTube-real_00170
Celeb-synthesis_id59_id61_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id59_id61_0007
YouTube-real_00126,0,/content/outputs/frames/CDF/YouTube-real_00126
Celeb-synthesis_id20_id21_0005,1,/content/outputs/frames/CDF/Celeb-synthesis_id20_id21_0005
YouTube-real_00174,0,/content/outputs/frames/CDF/YouTube-real_00174
Celeb-synthesis_id20_id29_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id20_id29_0008
Celeb-synthesis_id24_id27_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id24_id27_0006
Celeb-synthesis_id26_id38_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id26_id38_0002
YouTube-real_00254,0,/content/outputs/frames/CDF/YouTube-real_00254
YouTube-real_00072,0,/content/outputs/frames/CDF/YouTube-real_00072
YouTube-real_00014,0,/content/outputs/frames/CDF/YouTube-real_00014
YouTube-real_00239,0,/content/outputs/frames/CDF/YouTube-real_00239
Celeb-synthesis_id39_id46_0004,1,/content/outputs/frames/CDF/Celeb-synthesis_id39_id46_0004
YouTube-real_00145,0,/content/outputs/frames/CDF/YouTube-real_00145
YouTube-real_00017,0,/content/outputs/frames/CDF/YouTube-real_00017
Celeb-synthesis_id24_id25_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id24_id25_0000
Celeb-synthesis_id17_id6_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id17_id6_0002
YouTube-real_00016,0,/content/outputs/frames/CDF/YouTube-real_00016
YouTube-real_00202,0,/content/outputs/frames/CDF/YouTube-real_00202
Celeb-synthesis_id52_id55_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id55_0003
