video_id,label,frames_dir
original_sequences_youtube_c23_videos_534,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_534
manipulated_sequences_Face2Face_c23_videos_860_905,1,/content/outputs/frames/FFPP/manipulated_sequences_Face2Face_c23_videos_860_905
manipulated_sequences_Deepfakes_c23_videos_664_668,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_664_668
manipulated_sequences_Deepfakes_c23_videos_262_301,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_262_301
original_sequences_youtube_c23_videos_124,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_124
original_sequences_youtube_c23_videos_297,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_297
original_sequences_youtube_c23_videos_599,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_599
original_sequences_youtube_c23_videos_389,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_389
manipulated_sequences_NeuralTextures_c23_videos_242_182,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_242_182
original_sequences_youtube_c23_videos_017,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_017
original_sequences_youtube_c23_videos_417,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_417
original_sequences_youtube_c23_videos_918,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_918
original_sequences_youtube_c23_videos_968,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_968
manipulated_sequences_Deepfakes_c23_videos_578_636,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_578_636
manipulated_sequences_FaceSwap_c23_videos_959_957,1,/content/outputs/frames/FFPP/manipulated_sequences_FaceSwap_c23_videos_959_957
manipulated_sequences_NeuralTextures_c23_videos_618_629,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_618_629
manipulated_sequences_NeuralTextures_c23_videos_130_139,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_130_139
original_sequences_youtube_c23_videos_675,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_675
manipulated_sequences_NeuralTextures_c23_videos_523_541,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_523_541
original_sequences_youtube_c23_videos_756,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_756
original_sequences_youtube_c23_videos_950,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_950
original_sequences_youtube_c23_videos_051,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_051
manipulated_sequences_Face2Face_c23_videos_864_839,1,/content/outputs/frames/FFPP/manipulated_sequences_Face2Face_c23_videos_864_839
original_sequences_youtube_c23_videos_353,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_353
manipulated_sequences_Face2Face_c23_videos_896_128,1,/content/outputs/frames/FFPP/manipulated_sequences_Face2Face_c23_videos_896_128
manipulated_sequences_FaceSwap_c23_videos_732_691,1,/content/outputs/frames/FFPP/manipulated_sequences_FaceSwap_c23_videos_732_691
original_sequences_youtube_c23_videos_030,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_030
original_sequences_youtube_c23_videos_403,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_403
manipulated_sequences_Deepfakes_c23_videos_794_779,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_794_779
manipulated_sequences_Face2Face_c23_videos_824_419,1,/content/outputs/frames/FFPP/manipulated_sequences_Face2Face_c23_videos_824_419
manipulated_sequences_Deepfakes_c23_videos_502_504,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_502_504
original_sequences_youtube_c23_videos_211,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_211
original_sequences_youtube_c23_videos_595,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_595
original_sequences_youtube_c23_videos_513,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_513
manipulated_sequences_NeuralTextures_c23_videos_562_626,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_562_626
original_sequences_youtube_c23_videos_405,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_405
manipulated_sequences_Face2Face_c23_videos_518_131,1,/content/outputs/frames/FFPP/manipulated_sequences_Face2Face_c23_videos_518_131
original_sequences_youtube_c23_videos_414,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_414
original_sequences_youtube_c23_videos_775,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_775
original_sequences_youtube_c23_videos_432,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_432
manipulated_sequences_Deepfakes_c23_videos_Copy of 005_010,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_Copy of 005_010
manipulated_sequences_Deepfakes_c23_videos_800_840,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_800_840
manipulated_sequences_Face2Face_c23_videos_775_742,1,/content/outputs/frames/FFPP/manipulated_sequences_Face2Face_c23_videos_775_742
manipulated_sequences_FaceSwap_c23_videos_386_154,1,/content/outputs/frames/FFPP/manipulated_sequences_FaceSwap_c23_videos_386_154
manipulated_sequences_NeuralTextures_c23_videos_504_502,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_504_502
manipulated_sequences_FaceSwap_c23_videos_770_791,1,/content/outputs/frames/FFPP/manipulated_sequences_FaceSwap_c23_videos_770_791
manipulated_sequences_NeuralTextures_c23_videos_178_598,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_178_598
manipulated_sequences_FaceSwap_c23_videos_667_446,1,/content/outputs/frames/FFPP/manipulated_sequences_FaceSwap_c23_videos_667_446
manipulated_sequences_Face2Face_c23_videos_889_045,1,/content/outputs/frames/FFPP/manipulated_sequences_Face2Face_c23_videos_889_045
manipulated_sequences_Deepfakes_c23_videos_762_832,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_762_832
manipulated_sequences_NeuralTextures_c23_videos_749_659,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_749_659
manipulated_sequences_Deepfakes_c23_videos_486_680,1,/content/outputs/frames/FFPP/manipulated_sequences_Deepfakes_c23_videos_486_680
original_sequences_youtube_c23_videos_552,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_552
original_sequences_youtube_c23_videos_961,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_961
original_sequences_youtube_c23_videos_841,0,/content/outputs/frames/FFPP/original_sequences_youtube_c23_videos_841
manipulated_sequences_NeuralTextures_c23_videos_341_340,1,/content/outputs/frames/FFPP/manipulated_sequences_NeuralTextures_c23_videos_341_340
