video_id,label,frames_dir
Celeb-real_id60_0001,0,/content/outputs/frames/CDF/Celeb-real_id60_0001
Celeb-real_id39_0004,0,/content/outputs/frames/CDF/Celeb-real_id39_0004
Celeb-synthesis_id52_id53_0004,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id53_0004
Celeb-synthesis_id53_id55_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id55_0008
Celeb-synthesis_id52_id57_0004,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id57_0004
Celeb-real_id54_0003,0,/content/outputs/frames/CDF/Celeb-real_id54_0003
Celeb-synthesis_id50_id57_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id50_id57_0003
Celeb-real_id54_0009,0,/content/outputs/frames/CDF/Celeb-real_id54_0009
Celeb-synthesis_id53_id54_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id54_0008
Celeb-real_id49_0004,0,/content/outputs/frames/CDF/Celeb-real_id49_0004
Celeb-synthesis_id53_id51_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id51_0002
Celeb-synthesis_id51_id54_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id54_0002
Celeb-synthesis_id51_id58_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id58_0000
Celeb-synthesis_id50_id57_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id50_id57_0002
Celeb-real_id61_0003,0,/content/outputs/frames/CDF/Celeb-real_id61_0003
Celeb-synthesis_id53_id58_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id58_0001
Celeb-real_id59_0003,0,/content/outputs/frames/CDF/Celeb-real_id59_0003
Celeb-synthesis_id52_id58_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id58_0001
Celeb-synthesis_id53_id52_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id52_0008
Celeb-synthesis_id51_id53_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id53_0000
Celeb-synthesis_id52_id53_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id53_0006
Celeb-real_id25_0005,0,/content/outputs/frames/CDF/Celeb-real_id25_0005
Celeb-synthesis_id52_id57_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id57_0000
Celeb-synthesis_id52_id56_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id56_0003
Celeb-synthesis_id52_id58_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id58_0002
Celeb-real_id37_0006,0,/content/outputs/frames/CDF/Celeb-real_id37_0006
Celeb-synthesis_id54_id52_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id54_id52_0001
Celeb-real_id49_0006,0,/content/outputs/frames/CDF/Celeb-real_id49_0006
Celeb-real_id27_0003,0,/content/outputs/frames/CDF/Celeb-real_id27_0003
Celeb-real_id2_0001,0,/content/outputs/frames/CDF/Celeb-real_id2_0001
Celeb-real_id8_0000,0,/content/outputs/frames/CDF/Celeb-real_id8_0000
Celeb-real_id30_0009,0,/content/outputs/frames/CDF/Celeb-real_id30_0009
Celeb-real_id20_0002,0,/content/outputs/frames/CDF/Celeb-real_id20_0002
Celeb-real_id39_0003,0,/content/outputs/frames/CDF/Celeb-real_id39_0003
Celeb-synthesis_id50_id57_0004,1,/content/outputs/frames/CDF/Celeb-synthesis_id50_id57_0004
Celeb-real_id58_0006,0,/content/outputs/frames/CDF/Celeb-real_id58_0006
Celeb-real_id1_0004,0,/content/outputs/frames/CDF/Celeb-real_id1_0004
Celeb-synthesis_id54_id51_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id54_id51_0000
Celeb-synthesis_id53_id52_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id52_0001
Celeb-synthesis_id54_id53_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id54_id53_0003
Celeb-real_id28_0005,0,/content/outputs/frames/CDF/Celeb-real_id28_0005
Celeb-real_id3_0005,0,/content/outputs/frames/CDF/Celeb-real_id3_0005
Celeb-real_id56_0005,0,/content/outputs/frames/CDF/Celeb-real_id56_0005
Celeb-synthesis_id53_id50_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id50_0009
Celeb-real_id56_0003,0,/content/outputs/frames/CDF/Celeb-real_id56_0003
Celeb-synthesis_id51_id53_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id53_0002
Celeb-real_id39_0008,0,/content/outputs/frames/CDF/Celeb-real_id39_0008
Celeb-synthesis_id50_id55_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id50_id55_0006
Celeb-synthesis_id53_id57_0004,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id57_0004
Celeb-real_id50_0007,0,/content/outputs/frames/CDF/Celeb-real_id50_0007
Celeb-synthesis_id50_id57_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id50_id57_0006
Celeb-real_id46_0007,0,/content/outputs/frames/CDF/Celeb-real_id46_0007
Celeb-real_id25_0000,0,/content/outputs/frames/CDF/Celeb-real_id25_0000
Celeb-real_id4_0006,0,/content/outputs/frames/CDF/Celeb-real_id4_0006
Celeb-synthesis_id54_id49_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id54_id49_0003
Celeb-synthesis_id52_id58_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id58_0007
Celeb-real_id1_0000,0,/content/outputs/frames/CDF/Celeb-real_id1_0000
Celeb-synthesis_id53_id50_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id50_0001
Celeb-synthesis_id51_id57_0002,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id57_0002
Celeb-real_id57_0000,0,/content/outputs/frames/CDF/Celeb-real_id57_0000
Celeb-synthesis_id52_id54_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id54_0008
Celeb-real_id28_0008,0,/content/outputs/frames/CDF/Celeb-real_id28_0008
Celeb-real_id53_0008,0,/content/outputs/frames/CDF/Celeb-real_id53_0008
Celeb-real_id3_0006,0,/content/outputs/frames/CDF/Celeb-real_id3_0006
Celeb-real_id50_0006,0,/content/outputs/frames/CDF/Celeb-real_id50_0006
Celeb-real_id33_0001,0,/content/outputs/frames/CDF/Celeb-real_id33_0001
Celeb-synthesis_id53_id52_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id52_0006
Celeb-real_id10_0002,0,/content/outputs/frames/CDF/Celeb-real_id10_0002
Celeb-real_id35_0006,0,/content/outputs/frames/CDF/Celeb-real_id35_0006
Celeb-real_id27_0009,0,/content/outputs/frames/CDF/Celeb-real_id27_0009
Celeb-real_id16_0005,0,/content/outputs/frames/CDF/Celeb-real_id16_0005
Celeb-real_id19_0005,0,/content/outputs/frames/CDF/Celeb-real_id19_0005
Celeb-real_id22_0000,0,/content/outputs/frames/CDF/Celeb-real_id22_0000
Celeb-synthesis_id53_id51_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id51_0003
Celeb-synthesis_id54_id50_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id54_id50_0006
Celeb-synthesis_id53_id56_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id56_0006
Celeb-synthesis_id51_id58_0005,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id58_0005
Celeb-real_id55_0007,0,/content/outputs/frames/CDF/Celeb-real_id55_0007
Celeb-synthesis_id54_id55_0003,1,/content/outputs/frames/CDF/Celeb-synthesis_id54_id55_0003
Celeb-real_id44_0000,0,/content/outputs/frames/CDF/Celeb-real_id44_0000
Celeb-synthesis_id52_id55_0001,1,/content/outputs/frames/CDF/Celeb-synthesis_id52_id55_0001
Celeb-synthesis_id51_id50_0007,1,/content/outputs/frames/CDF/Celeb-synthesis_id51_id50_0007
Celeb-synthesis_id53_id49_0008,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id49_0008
Celeb-synthesis_id54_id53_0009,1,/content/outputs/frames/CDF/Celeb-synthesis_id54_id53_0009
Celeb-synthesis_id50_id56_0006,1,/content/outputs/frames/CDF/Celeb-synthesis_id50_id56_0006
Celeb-real_id47_0003,0,/content/outputs/frames/CDF/Celeb-real_id47_0003
Celeb-real_id6_0009,0,/content/outputs/frames/CDF/Celeb-real_id6_0009
Celeb-real_id52_0003,0,/content/outputs/frames/CDF/Celeb-real_id52_0003
Celeb-real_id11_0001,0,/content/outputs/frames/CDF/Celeb-real_id11_0001
Celeb-synthesis_id53_id51_0000,1,/content/outputs/frames/CDF/Celeb-synthesis_id53_id51_0000
