video_id,label,frames_dir
celeb_df_Celeb-synthesis_id48_id44_0000,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id48_id44_0000
celeb_df_YouTube-real_00177,0,/kaggle/outputs/frames/CDF/celeb_df_YouTube-real_00177
celeb_df_Celeb-real_id55_0004,0,/kaggle/outputs/frames/CDF/celeb_df_Celeb-real_id55_0004
celeb_df_Celeb-synthesis_id30_id37_0008,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id30_id37_0008
celeb_df_Celeb-synthesis_id17_id20_0001,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id17_id20_0001
celeb_df_Celeb-synthesis_id41_id47_0000,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id41_id47_0000
celeb_df_Celeb-synthesis_id59_id61_0000,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id59_id61_0000
celeb_df_Celeb-synthesis_id35_id26_0001,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id35_id26_0001
celeb_df_Celeb-synthesis_id54_id51_0001,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id54_id51_0001
celeb_df_Celeb-synthesis_id21_id16_0009,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id21_id16_0009
celeb_df_YouTube-real_00243,0,/kaggle/outputs/frames/CDF/celeb_df_YouTube-real_00243
celeb_df_Celeb-synthesis_id2_id26_0004,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id2_id26_0004
celeb_df_Celeb-real_id28_0008,0,/kaggle/outputs/frames/CDF/celeb_df_Celeb-real_id28_0008
celeb_df_Celeb-real_id8_0001,0,/kaggle/outputs/frames/CDF/celeb_df_Celeb-real_id8_0001
celeb_df_Celeb-real_id10_0005,0,/kaggle/outputs/frames/CDF/celeb_df_Celeb-real_id10_0005
celeb_df_YouTube-real_00240,0,/kaggle/outputs/frames/CDF/celeb_df_YouTube-real_00240
celeb_df_Celeb-synthesis_id23_id4_0003,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id23_id4_0003
celeb_df_YouTube-real_00150,0,/kaggle/outputs/frames/CDF/celeb_df_YouTube-real_00150
celeb_df_YouTube-real_00048,0,/kaggle/outputs/frames/CDF/celeb_df_YouTube-real_00048
celeb_df_Celeb-real_id11_0002,0,/kaggle/outputs/frames/CDF/celeb_df_Celeb-real_id11_0002
celeb_df_Celeb-real_id58_0007,0,/kaggle/outputs/frames/CDF/celeb_df_Celeb-real_id58_0007
celeb_df_Celeb-synthesis_id40_id46_0001,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id40_id46_0001
celeb_df_Celeb-synthesis_id16_id28_0003,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id16_id28_0003
celeb_df_YouTube-real_00036,0,/kaggle/outputs/frames/CDF/celeb_df_YouTube-real_00036
celeb_df_Celeb-real_id60_0009,0,/kaggle/outputs/frames/CDF/celeb_df_Celeb-real_id60_0009
celeb_df_Celeb-synthesis_id16_id20_0013,1,/kaggle/outputs/frames/CDF/celeb_df_Celeb-synthesis_id16_id20_0013
