video_id,label,frames_dir
id21_id33_0004,1,outputs\frames\CDF\id21_id33_0004
id12_0002,0,outputs\frames\CDF\id12_0002
00181,0,outputs\frames\CDF\00181
id58_id57_0003,1,outputs\frames\CDF\id58_id57_0003
00158,0,outputs\frames\CDF\00158
id27_id22_0009,1,outputs\frames\CDF\id27_id22_0009
id34_0007,0,outputs\frames\CDF\id34_0007
00002,0,outputs\frames\CDF\00002
00276,0,outputs\frames\CDF\00276
id26_id4_0001,1,outputs\frames\CDF\id26_id4_0001
id49_id58_0000,1,outputs\frames\CDF\id49_id58_0000
id60_0007,0,outputs\frames\CDF\id60_0007
id33_0000,0,outputs\frames\CDF\id33_0000
id16_id37_0012,1,outputs\frames\CDF\id16_id37_0012
id43_id45_0004,1,outputs\frames\CDF\id43_id45_0004
id48_id42_0002,1,outputs\frames\CDF\id48_id42_0002
id2_0000,0,outputs\frames\CDF\id2_0000
id28_id24_0000,1,outputs\frames\CDF\id28_id24_0000
id57_0005,0,outputs\frames\CDF\id57_0005
id58_0007,0,outputs\frames\CDF\id58_0007
id13_0004,0,outputs\frames\CDF\id13_0004
id28_id17_0007,1,outputs\frames\CDF\id28_id17_0007
id1_id21_0009,1,outputs\frames\CDF\id1_id21_0009
00218,0,outputs\frames\CDF\00218
id20_0007,0,outputs\frames\CDF\id20_0007
id48_0006,0,outputs\frames\CDF\id48_0006
id21_0002,0,outputs\frames\CDF\id21_0002
00282,0,outputs\frames\CDF\00282
id38_id23_0005,1,outputs\frames\CDF\id38_id23_0005
00237,0,outputs\frames\CDF\00237
00091,0,outputs\frames\CDF\00091
id38_0001,0,outputs\frames\CDF\id38_0001
00099,0,outputs\frames\CDF\00099
id16_id9_0001,1,outputs\frames\CDF\id16_id9_0001
id53_0005,0,outputs\frames\CDF\id53_0005
id28_id35_0002,1,outputs\frames\CDF\id28_id35_0002
id29_0004,0,outputs\frames\CDF\id29_0004
id56_id52_0008,1,outputs\frames\CDF\id56_id52_0008
id56_0005,0,outputs\frames\CDF\id56_0005
id1_0000,0,outputs\frames\CDF\id1_0000
id48_id47_0004,1,outputs\frames\CDF\id48_id47_0004
id16_id17_0012,1,outputs\frames\CDF\id16_id17_0012
id31_id35_0001,1,outputs\frames\CDF\id31_id35_0001
id42_id39_0003,1,outputs\frames\CDF\id42_id39_0003
00063,0,outputs\frames\CDF\00063
00139,0,outputs\frames\CDF\00139
id9_id1_0001,1,outputs\frames\CDF\id9_id1_0001
id31_id32_0008,1,outputs\frames\CDF\id31_id32_0008
id31_0008,0,outputs\frames\CDF\id31_0008
id3_0002,0,outputs\frames\CDF\id3_0002
id50_id53_0004,1,outputs\frames\CDF\id50_id53_0004
00161,0,outputs\frames\CDF\00161
id52_0002,0,outputs\frames\CDF\id52_0002
id21_id1_0001,1,outputs\frames\CDF\id21_id1_0001
00123,0,outputs\frames\CDF\00123
id26_id16_0003,1,outputs\frames\CDF\id26_id16_0003
00227,0,outputs\frames\CDF\00227
id13_0015,0,outputs\frames\CDF\id13_0015
id41_0007,0,outputs\frames\CDF\id41_0007
id37_id21_0006,1,outputs\frames\CDF\id37_id21_0006
00082,0,outputs\frames\CDF\00082
id31_id16_0002,1,outputs\frames\CDF\id31_id16_0002
id20_id17_0004,1,outputs\frames\CDF\id20_id17_0004
id35_id4_0009,1,outputs\frames\CDF\id35_id4_0009
id1_id3_0009,1,outputs\frames\CDF\id1_id3_0009
00225,0,outputs\frames\CDF\00225
00086,0,outputs\frames\CDF\00086
id16_0007,0,outputs\frames\CDF\id16_0007
00159,0,outputs\frames\CDF\00159
id0_id16_0003,1,outputs\frames\CDF\id0_id16_0003
00074,0,outputs\frames\CDF\00074
id47_id44_0002,1,outputs\frames\CDF\id47_id44_0002
id27_id20_0008,1,outputs\frames\CDF\id27_id20_0008
id9_id6_0008,1,outputs\frames\CDF\id9_id6_0008
id4_0004,0,outputs\frames\CDF\id4_0004
id17_id31_0001,1,outputs\frames\CDF\id17_id31_0001
id2_id31_0008,1,outputs\frames\CDF\id2_id31_0008
00061,0,outputs\frames\CDF\00061
00051,0,outputs\frames\CDF\00051
id1_id9_0009,1,outputs\frames\CDF\id1_id9_0009
00295,0,outputs\frames\CDF\00295
00089,0,outputs\frames\CDF\00089
id41_0005,0,outputs\frames\CDF\id41_0005
id59_0000,0,outputs\frames\CDF\id59_0000
