video_id,label,frames_dir
id48_0008,0,outputs\frames\CDF\id48_0008
id31_id4_0003,1,outputs\frames\CDF\id31_id4_0003
id50_id53_0004,1,outputs\frames\CDF\id50_id53_0004
id57_0009,0,outputs\frames\CDF\id57_0009
id2_id21_0008,1,outputs\frames\CDF\id2_id21_0008
id20_id21_0001,1,outputs\frames\CDF\id20_id21_0001
id32_id21_0008,1,outputs\frames\CDF\id32_id21_0008
id44_id47_0001,1,outputs\frames\CDF\id44_id47_0001
id21_id9_0008,1,outputs\frames\CDF\id21_id9_0008
id0_id26_0009,1,outputs\frames\CDF\id0_id26_0009
00246,0,outputs\frames\CDF\00246
id23_id16_0009,1,outputs\frames\CDF\id23_id16_0009
00218,0,outputs\frames\CDF\00218
id19_0007,0,outputs\frames\CDF\id19_0007
00266,0,outputs\frames\CDF\00266
id40_id42_0008,1,outputs\frames\CDF\id40_id42_0008
id47_0004,0,outputs\frames\CDF\id47_0004
id27_id20_0007,1,outputs\frames\CDF\id27_id20_0007
id3_id30_0006,1,outputs\frames\CDF\id3_id30_0006
id30_id35_0004,1,outputs\frames\CDF\id30_id35_0004
id52_0004,0,outputs\frames\CDF\id52_0004
id0_id3_0003,1,outputs\frames\CDF\id0_id3_0003
id20_0007,0,outputs\frames\CDF\id20_0007
id56_0003,0,outputs\frames\CDF\id56_0003
id16_0010,0,outputs\frames\CDF\id16_0010
id33_id38_0009,1,outputs\frames\CDF\id33_id38_0009
id45_0008,0,outputs\frames\CDF\id45_0008
id9_id6_0008,1,outputs\frames\CDF\id9_id6_0008
id52_id50_0009,1,outputs\frames\CDF\id52_id50_0009
00213,0,outputs\frames\CDF\00213
id25_0000,0,outputs\frames\CDF\id25_0000
id26_id35_0008,1,outputs\frames\CDF\id26_id35_0008
id49_id57_0008,1,outputs\frames\CDF\id49_id57_0008
id37_id21_0006,1,outputs\frames\CDF\id37_id21_0006
id32_0003,0,outputs\frames\CDF\id32_0003
id37_id1_0001,1,outputs\frames\CDF\id37_id1_0001
00016,0,outputs\frames\CDF\00016
00250,0,outputs\frames\CDF\00250
id60_0007,0,outputs\frames\CDF\id60_0007
00036,0,outputs\frames\CDF\00036
id2_0001,0,outputs\frames\CDF\id2_0001
00282,0,outputs\frames\CDF\00282
00219,0,outputs\frames\CDF\00219
id1_id9_0009,1,outputs\frames\CDF\id1_id9_0009
id9_id17_0003,1,outputs\frames\CDF\id9_id17_0003
id52_0007,0,outputs\frames\CDF\id52_0007
id28_id21_0002,1,outputs\frames\CDF\id28_id21_0002
id9_id23_0002,1,outputs\frames\CDF\id9_id23_0002
id37_id16_0006,1,outputs\frames\CDF\id37_id16_0006
00082,0,outputs\frames\CDF\00082
id25_id22_0003,1,outputs\frames\CDF\id25_id22_0003
id10_id11_0003,1,outputs\frames\CDF\id10_id11_0003
id39_id47_0007,1,outputs\frames\CDF\id39_id47_0007
id51_id53_0005,1,outputs\frames\CDF\id51_id53_0005
id7_0001,0,outputs\frames\CDF\id7_0001
id41_id40_0009,1,outputs\frames\CDF\id41_id40_0009
00154,0,outputs\frames\CDF\00154
id31_0008,0,outputs\frames\CDF\id31_0008
id48_id45_0002,1,outputs\frames\CDF\id48_id45_0002
00070,0,outputs\frames\CDF\00070
id47_0006,0,outputs\frames\CDF\id47_0006
id21_id22_0005,1,outputs\frames\CDF\id21_id22_0005
id47_id48_0007,1,outputs\frames\CDF\id47_id48_0007
id13_0007,0,outputs\frames\CDF\id13_0007
id21_id1_0001,1,outputs\frames\CDF\id21_id1_0001
id20_id23_0007,1,outputs\frames\CDF\id20_id23_0007
id45_id40_0005,1,outputs\frames\CDF\id45_id40_0005
id50_0001,0,outputs\frames\CDF\id50_0001
id1_0004,0,outputs\frames\CDF\id1_0004
id31_id35_0001,1,outputs\frames\CDF\id31_id35_0001
id24_id26_0002,1,outputs\frames\CDF\id24_id26_0002
00237,0,outputs\frames\CDF\00237
id20_id32_0008,1,outputs\frames\CDF\id20_id32_0008
00074,0,outputs\frames\CDF\00074
id16_0007,0,outputs\frames\CDF\id16_0007
