video_id,label,frames_dir
03_14__walking_down_street_outside_angry__H0VQHGS3,1,outputs\frames\FFPP\03_14__walking_down_street_outside_angry__H0VQHGS3
09_01__talking_angry_couch__P70H1JB0,1,outputs\frames\FFPP\09_01__talking_angry_couch__P70H1JB0
01__talking_angry_couch,0,outputs\frames\FFPP\01__talking_angry_couch
02__kitchen_still,0,outputs\frames\FFPP\02__kitchen_still
02__outside_talking_still_laughing,0,outputs\frames\FFPP\02__outside_talking_still_laughing
145_299,1,outputs\frames\FFPP\145_299
20_15__walking_down_indoor_hall_disgust__99NHTFBM,1,outputs\frames\FFPP\20_15__walking_down_indoor_hall_disgust__99NHTFBM
07_02__kitchen_pan__O4SXNLRL,1,outputs\frames\FFPP\07_02__kitchen_pan__O4SXNLRL
02__talking_angry_couch,0,outputs\frames\FFPP\02__talking_angry_couch
01__walking_outside_cafe_disgusted,0,outputs\frames\FFPP\01__walking_outside_cafe_disgusted
