video_id,label,src,dst
07_12__walking_down_street_outside_angry__0VN0A2T3,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\07_12__walking_down_street_outside_angry__0VN0A2T3.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\07_12__walking_down_street_outside_angry__0VN0A2T3.mp4
847_906,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\Deepfakes\c23\videos\847_906.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\Deepfakes\c23\videos\847_906.mp4
275_887,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\Deepfakes\c23\videos\275_887.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\Deepfakes\c23\videos\275_887.mp4
03__walking_outside_cafe_disgusted,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\actors\c23\videos\03__walking_outside_cafe_disgusted.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\actors\c23\videos\03__walking_outside_cafe_disgusted.mp4
23__podium_speech_happy,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\actors\c23\videos\23__podium_speech_happy.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\actors\c23\videos\23__podium_speech_happy.mp4
03_21__outside_talking_still_laughing__YCSEBZO4,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\03_21__outside_talking_still_laughing__YCSEBZO4.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\03_21__outside_talking_still_laughing__YCSEBZO4.mp4
166,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\166.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\166.mp4
027,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\027.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\027.mp4
18__secret_conversation,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\actors\c23\videos\18__secret_conversation.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\actors\c23\videos\18__secret_conversation.mp4
641,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\641.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\641.mp4
11_18__walking_outside_cafe_disgusted__R1NMCHKG,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\11_18__walking_outside_cafe_disgusted__R1NMCHKG.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\11_18__walking_outside_cafe_disgusted__R1NMCHKG.mp4
08__outside_talking_still_laughing,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\actors\c23\videos\08__outside_talking_still_laughing.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\actors\c23\videos\08__outside_talking_still_laughing.mp4
05_08__kitchen_pan__BGI70HJ5,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\05_08__kitchen_pan__BGI70HJ5.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\05_08__kitchen_pan__BGI70HJ5.mp4
963,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\963.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\963.mp4
22_23__walking_outside_cafe_disgusted__J8JK3NBV,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\22_23__walking_outside_cafe_disgusted__J8JK3NBV.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\22_23__walking_outside_cafe_disgusted__J8JK3NBV.mp4
26__kitchen_still,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\actors\c23\videos\26__kitchen_still.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\actors\c23\videos\26__kitchen_still.mp4
484,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\484.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\484.mp4
955_078,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\Deepfakes\c23\videos\955_078.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\Deepfakes\c23\videos\955_078.mp4
699,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\699.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\699.mp4
20_09__outside_talking_pan_laughing__MKEWB4SM,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\20_09__outside_talking_pan_laughing__MKEWB4SM.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\20_09__outside_talking_pan_laughing__MKEWB4SM.mp4
19_24__kitchen_pan__QD5K7BP2,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\19_24__kitchen_pan__QD5K7BP2.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\19_24__kitchen_pan__QD5K7BP2.mp4
12_25__walking_down_street_outside_angry__I2X1XTCC,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\12_25__walking_down_street_outside_angry__I2X1XTCC.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\12_25__walking_down_street_outside_angry__I2X1XTCC.mp4
588_556,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\Deepfakes\c23\videos\588_556.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\Deepfakes\c23\videos\588_556.mp4
081,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\081.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\081.mp4
08_28__kitchen_pan__LVT0XNQG,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\08_28__kitchen_pan__LVT0XNQG.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\08_28__kitchen_pan__LVT0XNQG.mp4
495,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\495.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\495.mp4
875,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\875.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\875.mp4
694_767,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\Deepfakes\c23\videos\694_767.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\Deepfakes\c23\videos\694_767.mp4
13_27__walking_outside_cafe_disgusted__A1OSUJE9,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\13_27__walking_outside_cafe_disgusted__A1OSUJE9.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\13_27__walking_outside_cafe_disgusted__A1OSUJE9.mp4
212,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\212.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\212.mp4
080,0,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\original_sequences\youtube\c23\videos\080.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\original_sequences\youtube\c23\videos\080.mp4
11_03__walking_outside_cafe_disgusted__P08VGHTA,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\11_03__walking_outside_cafe_disgusted__P08VGHTA.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\11_03__walking_outside_cafe_disgusted__P08VGHTA.mp4
07_03__podium_speech_happy__6PHZRQ4H,1,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\dataset\face_forensics\manipulated_sequences\DeepFakeDetection\c23\videos\07_03__podium_speech_happy__6PHZRQ4H.mp4,D:\Python\implementasi-skripsi-giovanny\deepfake_hybrid\outputs\sampled\FFPP\manipulated_sequences\DeepFakeDetection\c23\videos\07_03__podium_speech_happy__6PHZRQ4H.mp4
