video_id,label,frames_dir
839_864,1,outputs\frames\FFPP\839_864
577,0,outputs\frames\FFPP\577
759_755,1,outputs\frames\FFPP\759_755
27_13__kitchen_still__A1OSUJE9,1,outputs\frames\FFPP\27_13__kitchen_still__A1OSUJE9
24_22__walk_down_hall_angry__7E3GY85F,1,outputs\frames\FFPP\24_22__walk_down_hall_angry__7E3GY85F
280,0,outputs\frames\FFPP\280
104,0,outputs\frames\FFPP\104
896_128,1,outputs\frames\FFPP\896_128
181,0,outputs\frames\FFPP\181
15_06__kitchen_still__E98QYYXO,1,outputs\frames\FFPP\15_06__kitchen_still__E98QYYXO
885,0,outputs\frames\FFPP\885
501_326,1,outputs\frames\FFPP\501_326
15__kitchen_pan,0,outputs\frames\FFPP\15__kitchen_pan
20__outside_talking_still_laughing,0,outputs\frames\FFPP\20__outside_talking_still_laughing
15_03__kitchen_pan__DG8ITQO3,1,outputs\frames\FFPP\15_03__kitchen_pan__DG8ITQO3
414,0,outputs\frames\FFPP\414
17_16__walk_down_hall_angry__EWJJTZHY,1,outputs\frames\FFPP\17_16__walk_down_hall_angry__EWJJTZHY
816,0,outputs\frames\FFPP\816
23__outside_talking_pan_laughing,0,outputs\frames\FFPP\23__outside_talking_pan_laughing
894_848,1,outputs\frames\FFPP\894_848
08__outside_talking_still_laughing,0,outputs\frames\FFPP\08__outside_talking_still_laughing
06__walking_outside_cafe_disgusted,0,outputs\frames\FFPP\06__walking_outside_cafe_disgusted
225,0,outputs\frames\FFPP\225
068_028,1,outputs\frames\FFPP\068_028
908,0,outputs\frames\FFPP\908
111_094,1,outputs\frames\FFPP\111_094
930,0,outputs\frames\FFPP\930
05__exit_phone_room,0,outputs\frames\FFPP\05__exit_phone_room
571,0,outputs\frames\FFPP\571
723,0,outputs\frames\FFPP\723
134,0,outputs\frames\FFPP\134
734,0,outputs\frames\FFPP\734
803,0,outputs\frames\FFPP\803
27_14__walking_outside_cafe_disgusted__0KSONKQ2,1,outputs\frames\FFPP\27_14__walking_outside_cafe_disgusted__0KSONKQ2
