tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
104,403,216,459,0.4289340101522843,0.325,0.1847246891651865,0.23556058890147225,0.3736761005116256,0.4998690187931061,FFPP,FFPP,spatial,0
255,259,360,308,0.43485617597292725,0.4146341463414634,0.45293072824156305,0.432937181663837,0.4127065656232335,0.9999754428863525,FFPP,FFPP,freq,0
333,113,506,230,0.377326565143824,0.39690107270560193,0.5914742451154529,0.47503566333808844,0.36882670439056864,0.4102840721607208,FFPP,FFPP,hybrid,0
434,315,183,3,0.8010695187165775,0.7034035656401945,0.9931350114416476,0.8235294117647058,0.9659875198735445,0.658726692199707,CDF,CDF,spatial,0
343,222,276,94,0.6042780748663101,0.5541195476575121,0.7848970251716247,0.6496212121212122,0.6525093509047631,0.35437309741973877,CDF,CDF,freq,0
426,279,219,11,0.7540106951871658,0.6604651162790698,0.9748283752860412,0.7874306839186691,0.9259141830479813,0.4773540794849396,CDF,CDF,hybrid,0
266,124,495,297,0.3299492385786802,0.3495400788436268,0.4724689165186501,0.40181268882175225,0.25264492951158835,0.5659422874450684,FFPP,FFPP,spatial,1
175,291,328,388,0.3942470389170897,0.34791252485089463,0.3108348134991119,0.32833020637898686,0.3518724694904117,0.997536301612854,FFPP,FFPP,freq,1
540,100,519,23,0.5414551607445008,0.509915014164306,0.9591474245115453,0.6658446362515413,0.3868325982720081,0.09167642146348953,FFPP,FFPP,hybrid,1
434,258,240,3,0.7401069518716578,0.6439169139465876,0.9931350114416476,0.7812781278127813,0.9373627232040289,0.3633323013782501,CDF,CDF,spatial,1
329,229,269,108,0.5967914438502674,0.5501672240802675,0.7528604118993135,0.6357487922705314,0.6434479336108737,0.36408889293670654,CDF,CDF,freq,1
422,291,207,15,0.7625668449197861,0.670906200317965,0.965675057208238,0.7917448405253283,0.925440894010826,0.4622856676578522,CDF,CDF,hybrid,1
246,449,170,317,0.5879864636209814,0.5913461538461539,0.4369449378330373,0.5025536261491318,0.6122534770744081,0.4803130626678467,FFPP,FFPP,spatial,2
425,120,499,138,0.461082910321489,0.45995670995670995,0.7548845470692718,0.5716207128446537,0.5210719174053149,0.04746956750750542,FFPP,FFPP,freq,2
521,96,523,42,0.5219966159052454,0.4990421455938697,0.9253996447602132,0.6484131922837586,0.3692542546994666,0.10584262758493423,FFPP,FFPP,hybrid,2
432,289,209,5,0.7711229946524064,0.6739469578783152,0.988558352402746,0.8014842300556586,0.9434120923051473,0.523675262928009,CDF,CDF,spatial,2
324,214,284,113,0.5754010695187166,0.5328947368421053,0.7414187643020596,0.6200956937799043,0.641449091560751,0.4527674913406372,CDF,CDF,freq,2
424,256,242,13,0.7272727272727273,0.6366366366366366,0.9702517162471396,0.7688123300090662,0.9055305891759258,0.3666990101337433,CDF,CDF,hybrid,2
