tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
2348,2300,1661,1110,0.626499528238307,0.5856822150162135,0.6790052053209948,0.6289004955135932,0.6834171488963606,0.16301976144313812,FFPP,CDF,spatial,0
192,3803,158,3266,0.5384822752392505,0.5485714285714286,0.055523423944476576,0.10084033613445378,0.6136380826417898,0.47307950258255005,FFPP,CDF,freq,0
1814,2877,1084,1644,0.6322954576088422,0.6259489302967564,0.5245806824754193,0.5707992448080553,0.6799980039625796,0.1953325718641281,FFPP,CDF,hybrid,0
308,4774,30,4108,0.5511930585683297,0.9112426035502958,0.06974637681159421,0.12957509465713082,0.6301407143729862,0.4505002200603485,CDF,FFPP,spatial,0
2855,2296,2508,1561,0.5586767895878525,0.5323512959164647,0.6465126811594203,0.5839042846916863,0.5859039851301451,0.10285913199186325,CDF,FFPP,freq,0
651,4498,306,3765,0.5584598698481562,0.6802507836990596,0.14741847826086957,0.24232272473478503,0.5853966897301766,0.666560173034668,CDF,FFPP,hybrid,0
2069,2628,1333,1389,0.6331041919396145,0.6081716637272193,0.5983227299016772,0.6032069970845481,0.6812909382967449,0.2225312888622284,FFPP,CDF,spatial,1
183,3820,141,3275,0.5395605876802804,0.5648148148148148,0.05292076344707924,0.0967741935483871,0.6083650102671083,0.01619449071586132,FFPP,CDF,freq,1
1856,2675,1286,1602,0.6107292087882464,0.5907065563335455,0.5367264314632736,0.5624242424242424,0.6476062006530123,0.3922775983810425,FFPP,CDF,hybrid,1
320,4773,31,4096,0.5523861171366594,0.9116809116809117,0.07246376811594203,0.1342563457100902,0.5917465555575668,0.5581013560295105,CDF,FFPP,spatial,1
2655,2467,2337,1761,0.555531453362256,0.5318509615384616,0.6012228260869565,0.5644132653061225,0.578290759549711,0.9890852570533752,CDF,FFPP,freq,1
658,4525,279,3758,0.5621475054229935,0.7022411953041622,0.1490036231884058,0.24584345226975526,0.5547836136703712,0.22148355841636658,CDF,FFPP,hybrid,1
2193,2427,1534,1265,0.6227254346947028,0.5884089079688758,0.6341816078658183,0.6104384133611691,0.6680039654999461,0.14708150923252106,FFPP,CDF,spatial,2
291,3754,207,3167,0.5452217279956868,0.5843373493975904,0.0841526894158473,0.14711830131445905,0.5969866113636293,0.03283344954252243,FFPP,CDF,freq,2
2546,2121,1840,912,0.6290605202857528,0.5804833561331509,0.7362637362637363,0.649158592554819,0.6671912409731142,0.08252229541540146,FFPP,CDF,hybrid,2
353,4784,20,4063,0.5571583514099783,0.9463806970509383,0.07993659420289854,0.14742117352265607,0.5985429563527978,0.407288521528244,CDF,FFPP,spatial,2
1526,3622,1182,2890,0.558351409978308,0.5635155096011817,0.34556159420289856,0.42841100505334084,0.5616112431593842,0.9986395239830017,CDF,FFPP,freq,2
574,4683,121,3842,0.570173535791757,0.8258992805755395,0.129981884057971,0.22461357855605557,0.5242326650345726,0.39265862107276917,CDF,FFPP,hybrid,2
