tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
90,373,125,347,0.49518716577540106,0.4186046511627907,0.20594965675057209,0.27607361963190186,0.5485580767003942,0.4998690187931061,FFPP,CDF,spatial,0
154,328,170,283,0.5155080213903743,0.47530864197530864,0.3524027459954233,0.40473061760841,0.49925100861110344,0.9999135732650757,FFPP,CDF,freq,0
142,471,27,295,0.6556149732620321,0.8402366863905325,0.32494279176201374,0.46864686468646866,0.7805501180925073,0.35290953516960144,FFPP,CDF,hybrid,0
191,443,176,372,0.5363790186125211,0.5204359673024523,0.3392539964476021,0.410752688172043,0.5009512277006689,0.5767993330955505,CDF,FFPP,spatial,0
510,103,516,53,0.5186125211505922,0.49707602339181284,0.9058614564831261,0.6419131529263687,0.5543118018232581,0.3659738302230835,CDF,FFPP,freq,0
250,267,352,313,0.4373942470389171,0.4152823920265781,0.44404973357015987,0.4291845493562232,0.511278432812908,0.4040580093860626,CDF,FFPP,hybrid,0
243,437,61,194,0.7272727272727273,0.7993421052631579,0.5560640732265446,0.6558704453441295,0.7865052888901143,0.5659422874450684,FFPP,CDF,spatial,1
96,441,57,341,0.574331550802139,0.6274509803921569,0.21967963386727687,0.3254237288135593,0.6104670397838494,0.9984863996505737,FFPP,CDF,freq,1
258,338,160,179,0.6374331550802139,0.6172248803827751,0.5903890160183066,0.6035087719298246,0.7172075027799987,0.08982015401124954,FFPP,CDF,hybrid,1
221,415,204,342,0.5380710659898477,0.52,0.3925399644760213,0.4473684210526316,0.5077891631778753,0.3911036550998688,CDF,FFPP,spatial,1
520,148,471,43,0.5651438240270727,0.5247225025227044,0.9236234458259325,0.6692406692406693,0.6602409776841694,0.9999822378158569,CDF,FFPP,freq,1
265,294,325,298,0.47292724196277497,0.4491525423728814,0.4706927175843694,0.45967042497831745,0.5533333142035657,0.5111399292945862,CDF,FFPP,hybrid,1
58,295,203,379,0.3775401069518717,0.2222222222222222,0.13272311212814644,0.166189111747851,0.3115942028985507,0.4803130626678467,FFPP,CDF,spatial,2
78,442,56,359,0.5561497326203209,0.582089552238806,0.17848970251716248,0.2732049036777583,0.6179822263883911,0.5241667628288269,FFPP,CDF,freq,2
359,281,217,78,0.6844919786096256,0.6232638888888888,0.8215102974828375,0.7087857847976308,0.7501952891658165,0.1053994670510292,FFPP,CDF,hybrid,2
222,459,160,341,0.5761421319796954,0.581151832460733,0.39431616341030196,0.46984126984126984,0.5458267933439886,0.48846814036369324,CDF,FFPP,spatial,2
418,118,501,145,0.45346869712351945,0.4548422198041349,0.7424511545293073,0.5641025641025641,0.5780609302232157,0.4419463276863098,CDF,FFPP,freq,2
298,257,362,265,0.46954314720812185,0.45151515151515154,0.5293072824156305,0.4873262469337694,0.5445240561611722,0.4272198975086212,CDF,FFPP,hybrid,2
