tp,tn,fp,fn,acc,precision,recall,f1,auc,threshold,train_dataset,test_dataset,model,seed
1137,1035,633,382,0.6815186695952307,0.6423728813559322,0.7485187623436471,0.6913955609607784,0.7373522511812801,0.26855361461639404,FFPP,FFPP,spatial,0
1023,377,1291,496,0.4392845936617509,0.4420916162489196,0.673469387755102,0.5337855465692669,0.42775443897679755,0.5114990472793579,FFPP,FFPP,freq,0
931,911,757,588,0.5779730153749608,0.5515402843601895,0.6129032258064516,0.5806049267227938,0.6032290033674179,0.4433782398700714,FFPP,FFPP,hybrid,0
930,1266,98,220,0.8735083532219571,0.9046692607003891,0.808695652173913,0.8539944903581267,0.9363145480045901,0.6130726337432861,CDF,CDF,spatial,0
899,370,994,251,0.5047732696897375,0.4749075541468568,0.7817391304347826,0.5908642786723628,0.5551482213438735,0.9984501600265503,CDF,CDF,freq,0
779,1123,241,371,0.7565632458233891,0.7637254901960784,0.6773913043478261,0.7179723502304147,0.826647966339411,0.7457945942878723,CDF,CDF,hybrid,0
1096,1096,572,423,0.6877941637903985,0.657074340527578,0.7215273206056616,0.6877941637903985,0.7496763616098563,0.38153672218322754,FFPP,FFPP,spatial,1
684,794,874,835,0.46375902102290556,0.43902439024390244,0.45029624753127057,0.44458888527786805,0.44974014205357243,0.45517730712890625,FFPP,FFPP,freq,1
1072,562,1106,447,0.5127078757452149,0.4921946740128558,0.7057274522712311,0.5799296727076008,0.5305340980671684,0.4783778488636017,FFPP,FFPP,hybrid,1
967,1250,114,183,0.8818615751789977,0.8945420906567992,0.8408695652173913,0.8668758404303003,0.948795741425475,0.6060013771057129,CDF,CDF,spatial,1
882,444,920,268,0.5274463007159904,0.4894561598224195,0.7669565217391304,0.5975609756097561,0.5586580390156828,0.026068001985549927,CDF,CDF,freq,1
810,1036,328,340,0.7342879872712809,0.7117750439367311,0.7043478260869566,0.708041958041958,0.8104386076756344,0.7255774140357971,CDF,CDF,hybrid,1
592,1445,223,927,0.6391590837778475,0.7263803680981595,0.3897300855826201,0.5072836332476436,0.7496364988325337,0.8005231022834778,FFPP,FFPP,spatial,2
1090,628,1040,429,0.5390649513649199,0.5117370892018779,0.717577353522054,0.5974239517676075,0.5621541608056543,0.9660505056381226,FFPP,FFPP,freq,2
1319,167,1501,200,0.4662692187009727,0.4677304964539007,0.8683344305464121,0.6079741876008297,0.49365175404113837,0.45247790217399597,FFPP,FFPP,hybrid,2
973,1241,123,177,0.8806682577565632,0.8877737226277372,0.8460869565217392,0.8664292074799644,0.9419195460920565,0.6209546327590942,CDF,CDF,spatial,2
912,464,900,238,0.54733492442323,0.5033112582781457,0.7930434782608695,0.6158001350438893,0.5927011347698584,0.14160595834255219,CDF,CDF,freq,2
754,1063,301,396,0.7227525855210819,0.7146919431279621,0.6556521739130434,0.6839002267573696,0.7981034043095754,0.7658588886260986,CDF,CDF,hybrid,2
